Day,Visitor type,Site member,Traffic category,Traffic source,Traffic source URL,UTM campaign source,UTM campaign medium,UTM campaign name,UTM campaign content,UTM campaign keywords,UTM Wix campaign,Page path,Page URL,Country,Region,City,Postal code,Device type,Browser,Browser version,Operating system,IP address,Is the first page viewed (Yes / No),Is the last page viewed (Yes / No),Next page viewed,Previous page viewed,Page views,Site sessions,Unique visitors,Bounce rate,Page exit rate,Avg. session duration,Avg. time on page,Avg. pages per session
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/jobs,https://schaumburgmarketplace.net/jobs,United States,IL,Schaumburg,60193,Desktop,Chrome,124.0.0.0,Windows,98.226.168.103,No,No,/services,/services,1,1,1,0.00%,0.00%,8m 36s,2s,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/business-directory,https://schaumburgmarketplace.net/business-directory,United States,IL,Bolingbrook,60440,Desktop,Chrome,125.0.0.0,Windows,104.12.224.14,Yes,Yes,,,1,1,1,100.00%,100.00%,,,1
2024-05-06,New,No,Direct,Direct,https://itexps.wixsite.com/smpweb,_,_,_,_,_,_,/events,https://itexps.wixsite.com/smpweb/events,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/home,/jobs,1,1,1,0.00%,0.00%,2m 40s,6s,1
2024-05-20,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/faq,https://schaumburgmarketplace.net/faq,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,Yes,,/testimonials,1,1,1,0.00%,100.00%,33m 53s,,1
2024-05-23,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/about-us,https://schaumburgmarketplace.net/about-us,United States,IL,Schaumburg,60193,Desktop,Chrome,124.0.0.0,Windows,98.226.168.103,No,No,/,/offers,1,1,1,0.00%,0.00%,54s,23s,1
2024-05-31,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/disclaimer,https://schaumburgmarketplace.net/disclaimer,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/package-information,/,1,1,1,0.00%,0.00%,1h 07m 22s,1m 18s,1
2024-05-30,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/clients,https://schaumburgmarketplace.net/clients,United States,IL,Schaumburg,60193,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,No,No,/,/why-smp,1,1,1,0.00%,0.00%,33m 16s,9s,1
2024-05-14,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/jobs,https://schaumburgmarketplace.net/jobs,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/about-us,/news-1,1,1,1,0.00%,0.00%,56s,16s,1
2024-05-14,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/about-us,https://schaumburgmarketplace.net/about-us,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/contact-us,/offers,1,1,1,0.00%,0.00%,34m 18s,3s,1
2024-05-21,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,125.0.0.0,Windows,98.206.217.54,Yes,No,/business-directory,,1,1,1,0.00%,0.00%,3m 09s,30s,1
2024-05-24,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/offers,https://schaumburgmarketplace.net/offers,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/about-us,/jobs,1,1,1,0.00%,0.00%,28s,1s,1
2024-05-16,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,Yes,No,/services,,1,1,1,0.00%,0.00%,2m 36s,31s,1
2024-05-08,Returning,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60194,Desktop,Edge,124.0.0.0,Windows,98.206.217.54,No,No,/services,/faq,1,1,1,0.00%,0.00%,36m 34s,8s,1
2024-05-06,New,No,Direct,Direct,https://itexps.wixsite.com/smpweb,_,_,_,_,_,_,/services,https://itexps.wixsite.com/smpweb/services,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/,1,1,1,0.00%,0.00%,2m 40s,12s,1
2024-06-02,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,China,Unknown,Unknown,Unknown,Desktop,Chrome,106.0.237,OS X,106.75.101.188,Yes,Yes,,,1,1,1,100.00%,100.00%,,,1
2024-06-03,New,No,Referral,Google,https://classroom.google.com/,_,_,_,_,_,_,/,https://schaumburgmarketplace.net/,United States,IL,Schaumburg,60193,Desktop,Edge,125.0.0.0,Windows,98.206.217.54,Yes,Yes,,,1,1,1,100.00%,100.00%,,,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/jobs,https://schaumburgmarketplace.net/jobs,United States,IL,Schaumburg,60194,Mobile,Safari,16.6,iOS,98.206.217.54,No,No,/news-1,/services,1,1,1,0.00%,0.00%,17m 01s,13s,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/events,https://schaumburgmarketplace.net/events,United States,IL,Schaumburg,60194,Mobile,Safari,16.6,iOS,98.206.217.54,Yes,No,/,,1,1,1,0.00%,0.00%,17m 01s,,1
2024-05-15,New,No,Direct,Direct,Unknown,_,_,_,_,_,_,/contact-us,https://schaumburgmarketplace.net/contact-us,United States,IL,Schaumburg,60194,Desktop,Chrome,124.0.0.0,Windows,98.206.217.54,No,No,/,/about-us,1,1,1,0.00%,0.00%,1h 22m 14s,20m 07s,1
